Name,LastSeen,FirstSeen,NetLastSeen,NetFirstSeen,IpAddress,MacAddress,IsOnline,SerialNumber,HardwareMACAddress,AirWatchID,MerakiID,BatteryLevel,SpaceInternalRemaining,SpaceInternalTotal,IsPosi2_6_0Installed,IsMACRandomizationDisableInstalled
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:35,8/21/2023 22:59,10.44.4.101,,TRUE,,101EDA5F0847,0,k19aad3,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:35,8/21/2023 22:58,10.44.4.105,,TRUE,,101EDA60F3C5,0,k5d0f0e,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:35,8/10/2023 1:26,10.44.5.100,,TRUE,,101EDA5F063C,0,k7880a1,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 3:39,1/20/2024 6:11,10.44.5.107,,FALSE,,101EDA5D3608,0,k0d6fd6,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:36,8/10/2023 1:28,10.44.5.101,,TRUE,,101EDA5F060B,0,k0dbd34,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:35,8/10/2023 1:26,10.44.5.106,,TRUE,,101EDA5F057A,0,k93e2b7,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:36,1/27/2024 17:06,10.44.5.103,,TRUE,,101EDA5F0590,0,kb01218,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:36,1/20/2024 6:05,10.44.5.108,,TRUE,,101EDA5D359B,0,kb82d42,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,9/22/2024 5:41,8/10/2023 1:26,10.44.5.102,,FALSE,,101EDA5F05FD,0,kd8525c,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:36,1/20/2024 6:11,10.44.5.109,,TRUE,,101EDA5D3734,0,k2a58fe,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:35,8/10/2023 1:26,10.44.5.105,,TRUE,,101EDA5F0614,0,k53dbf9,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:36,8/4/2023 20:30,10.10.3.102,,TRUE,,101EDA5A3EFA,0,k74ad76,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:36,3/15/2024 17:35,10.10.3.108,,TRUE,,38EFE3F2AECA,0,k81d20f,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/4/2024 20:13,1/13/2024 18:17,10.10.3.107,,FALSE,,101EDA5D3712,0,k8fa3ac,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:36,8/4/2023 19:27,10.10.3.100,,TRUE,,101EDA5A3360,0,k96e319,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:36,3/15/2024 17:34,10.10.3.104,,TRUE,,38EFE3F2B390,0,kb897ea,0,0,0,FALSE,FALSE
